environment_name,environment_description,environment_belong_city
比尔吉沃特湾,比尔吉沃特湾的周围环布着险峻的海峡和高耸的悬崖，即使是水生水长的当地人也同样觉得危险。外地人经常被这里看似无穷无尽的机遇吸引前来，并长久地定居下来——因为他们在这里过的日子越久，就越明白如何对别人进行盘剥和利用，为自己带来力量和财富。,比尔吉沃特
屠夫之桥,横跨于主港区上方的是屠夫之桥，一座嵌在两侧悬崖中间的远古石道，一头连接着繁忙的码头，另一头是臭名昭著的贫民窟。有人依然会经由这里前往娜伽卡波洛丝神庙，但现在大多数来这里的人都是为了决斗，或者进行见不得光的交易。,比尔吉沃特
新的开端,由于缺少建筑用的自然资源，大多数比尔吉沃特的建筑材料都是人们带来、找来或偷来的——既有挪为它用的石刻作品，甚至还有他们乘坐而来的船只报废后的船壳。,比尔吉沃特
风口浪尖上的生活,比尔吉沃特最下等的居民生活在一座庞大的迷宫中，到处是曲折的暗河和隐蔽的入口。他们的家与赖以为生的大海之间没有明显的界线。不得不说，在风口浪尖上行走不仅是生计所迫，更是日常生活的一部分。,比尔吉沃特
古代建筑,外城区的各个定居点都是在一个更古老的文明的残垣之上建立起来的。废弃已久的神庙被充作住宅和商户，一座座房屋之间通过飞架的栈道相连。,比尔吉沃特
屠宰码头,比尔吉沃特周边始终都有被海兽袭击的风险，但这些年来，狩猎和处理这些巨型生物逐渐催生了许多利润丰厚的行业。猎海船将它们拖回港口，然后人们再将其分割肢解成肉、油、皮、鳞——甚至包括骨头和牙齿——在日益兴旺的码头市场上出售。,比尔吉沃特
刻骨湾岸,从麦格雷根的屠宰间，到血港出名的行家，屠宰码头的活计日日夜夜从不间断，将死尸变为利润。只有最成功的船长才可能自己管一片码头，所以大多数船长都不得不随行就市，尽可能讨到最好的价格，不抓紧的话他们的战利品就要烂在水里了。,比尔吉沃特
山高则水远,比尔吉沃特有一条不言自明的公理：爬的越高，越不担心被淹死。兜里有俩钱的人会经常光顾上城区的酒馆，痛饮美酒佳酿、寻欢作乐——不过要不了几天，他们就会下到港区，与猎海人队伍讨价还价，加入下一次生死难料的远航。,比尔吉沃特
芭茹神庙,,比尔吉沃特
蟒行群岛,瓦洛兰大陆上的人所说的蓝焰群岛，在水生水长的芭茹人的概念中始终都是蟒行群岛。芭茹人的古代文化受到比尔吉沃特人的极大尊崇，常常反应在他们的日常生活中，甚至有些是完全照搬的——包括传统的医药，还有猎海的技巧。,比尔吉沃特
娜伽卡波洛丝,芭茹文化的中心是娜伽卡波洛丝——代表生命、生长和永恒运动的神。人们也会叫她蛇母、大海兽、或是胡子女士。她通常的象征是一个硕大无比的海怪头颅，周围盘曲着触手。,比尔吉沃特
密银城,一座坐落于德玛西亚西北岩石高地的城市,德玛西亚
黎明城堡,嘉文三世的宫殿,德玛西亚
英勇之厅,阵亡的德玛西亚将士们在此被人铭记,德玛西亚
光明使者神殿,,德玛西亚
德玛西亚城的宏伟广场,统治者们在人们雷鸣般的称颂声中接受任命,德玛西亚
科技魔法学院的塔楼,升向皮尔特沃夫,祖安
后街的海克斯科技交易,,祖安
呼气站,通往下方微光酒吧的入口,祖安
边境集市兴旺于皮城和祖安交界处,,祖安
祖安城中处处生机洋溢,,祖安
津戴罗的微缩符文之地,,皮尔特沃夫
黄道地库,皮尔特沃夫最安全的银行,皮尔特沃夫
皮尔特沃夫国库,,皮尔特沃夫
恒星大道,通向皮尔特沃夫国库的入口,皮尔特沃夫
贸易与进步,远古时代的祖安是恕瑞玛北方的一处贸易站，但却是三千多年后建起的皮尔特沃夫海闸给当地带来了更大的繁荣。,皮尔特沃夫
日之门,这些海闸令皮尔特沃夫成为了瓦洛兰和恕瑞玛大陆之间的贸易中心，给这座城市里的统治者们带来了难以想象的巨额财富。,皮尔特沃夫
时钟学院的工坊,海克斯科技工坊的研究者们现身说法地证明了资金雄厚的赞助对于发明家来说意味着什么。,皮尔特沃夫
工坊,,皮尔特沃夫
