My underwear is dirty.	我的內衣髒了
I stood waiting for a bus.	我站著等公車。
I come from a large family.	我从一个大家庭来。
Where there's a will, there's a way.	有志者事竟成。
My father made me what I am.	我父親讓我知道了我自己是誰。
He's very smart, and he's handsome too.	他很聪明，而且他很帅。
If it happened to Tom, it could happen to you.	如果那發生在Tom身上，也可能會發生在你身上。
Wait and see.	走著瞧
I'm sure that it'll be fun.	我确定它将会很有趣
Why have you been late to school every day this week?	為什麼你這個禮拜每天上學都遲到？
She sent me a letter.	她寄给我一封信。
It was beginning to snow.	開始下雪了。
There must be some way to solve this.	一定有解決的辦法。
Bread is made from flour, water and yeast.	面包是用面粉、水和发酵粉做的。
I am poor at drawing.	我不擅長畫畫。
I had an accident at work.	我出了工伤。
You have lovely eyes, don't you?	你有一雙可愛的眼睛，不是嗎?
Whose car is this?	這輛汽車是誰的?
We'll die sooner or later.	我們早晚要死。
She pretended not to hear him yesterday.	昨天她裝作沒有聽見他。
My brother became an engineer.	我哥哥成了一名工程師。
I think Tom is awake.	我想Tom已经醒了。
I'm tired of watching television.	我厌倦了看电视。
I love my work very much.	我非常喜欢我的工作。
I caught the man stealing the money.	我抓到了這個男人正在偷錢。
He has access to the American Embassy.	他有权出入美国大使馆。
I want to go there.	我想去那裡。
She couldn't answer the question.	她無法回答這個問題。
Keep an eye on the child for me for a moment.	帮我看会儿孩子。
She accepted his gift.	她收下了他的礼物。
Take a deep breath, please.	請深呼吸。
She really wants to go.	她特别想去。
I'll take your suitcase to your room.	我會把你的手提箱拿到你的房間。
I don't know why you don't like Tom.	我不知道你不喜欢汤姆的理由。
A parrot can mimic a person's voice.	鸚鵡會模仿人的聲音。
It'll be cloudy.	天要变多云了。
Who will take care of the dog while we are away?	當我們離開的時候，誰來照顧狗？
What is the name of that river?	這條河叫什麼名字?
I do not know whether it is good or not.	我不知道它是好是坏。
Mary bought a skirt and a blouse.	玛丽买了一件衬衫和一条连衣裙。
Come here by ten at the latest.	最晚十點前來這裡。
I got acquainted with him last night.	我昨晚認識了他。
The price is not reasonable.	这个价格不合理。
Let me have a look.	讓我看看。
Quite by chance, I met my old friend at the airport.	很幸运地，我在机场遇到了我的老朋友。
